X,Y,Z
-0.101863,-0.205525,0.79
-0.1006,-0.206306,0.793
-0.0989494,-0.206306,0.793
-0.096931,-0.205525,0.79
-0.0952869,-0.205525,0.79
-0.0930501,-0.204224,0.785
-0.0904848,-0.202143,0.777
-0.0881815,-0.200582,0.771
-0.0865769,-0.200582,0.771
-0.0849723,-0.200582,0.771
-0.046076,-0.169623,0.652
-0.0443075,-0.168062,0.646
-0.0428301,-0.167542,0.644
-0.0414898,-0.167542,0.644
-0.0401496,-0.167542,0.644
-0.0388093,-0.167542,0.644
-0.0372363,-0.166501,0.64
-0.0358483,-0.166241,0.639
-0.0345724,-0.166501,0.64
-0.0328769,-0.16468,0.633
-0.0315596,-0.16468,0.633
-0.0302422,-0.16468,0.633
-0.0288791,-0.16442,0.632
-0.0269969,-0.161038,0.619
-0.987491,-0.446982,1.732
-1.00661,-0.457305,1.772
-1.00292,-0.457305,1.772
-0.999234,-0.457305,1.772
-0.995546,-0.457305,1.772
-0.991858,-0.457305,1.772
-0.98817,-0.457305,1.772
-0.992261,-0.460918,1.786
-0.996293,-0.464531,1.8
-0.984827,-0.460918,1.786
-0.98111,-0.460918,1.786
-0.985054,-0.464531,1.8
-0.997118,-0.472015,1.829
-0.977562,-0.464531,1.8
-0.981931,-0.468402,1.815
-0.878174,-0.680796,2.638
-0.882939,-0.688796,2.669
-0.898423,-0.705313,2.733
-0.903842,-0.714087,2.767
-0.876661,-0.697055,2.701
-0.860721,-0.688796,2.669
-0.835621,-0.673054,2.608
-0.830194,-0.673054,2.608
-0.824766,-0.673054,2.608
-0.214998,-0.200523,0.777
-0.212557,-0.199748,0.774
-0.210129,-0.198974,0.771
-0.208524,-0.198974,0.771
-0.206383,-0.198458,0.769
-0.203983,-0.197684,0.766
-0.202389,-0.197684,0.766
-0.199484,-0.196393,0.761
-0.101863,-0.203877,0.79
-0.1006,-0.204652,0.793
-0.0985751,-0.203877,0.79
-0.096931,-0.203877,0.79
-0.0952869,-0.203877,0.79
-0.0930501,-0.202587,0.785
-0.0904848,-0.200523,0.777
-0.0885246,-0.199748,0.774
-0.0869138,-0.199748,0.774
-0.0849723,-0.198974,0.771
-0.046076,-0.168263,0.652
-0.0444447,-0.167231,0.648
-0.0429631,-0.166715,0.646
-0.0414898,-0.166199,0.644
-0.0401496,-0.166199,0.644
-0.0388093,-0.166199,0.644
-0.0373527,-0.165683,0.642
-0.0358483,-0.164908,0.639
-0.0345724,-0.165167,0.64
-0.0329808,-0.163876,0.635
